year,team,continuity,wins
1977-78,NYK,71%,43
1977-78,DEN,52%,48
1977-78,SAC,59%,31
1977-78,POR,85%,58
1977-78,CLE,87%,43
1977-78,SAS,90%,52
1977-78,UTA,67%,39
1977-78,CHI,79%,40
1977-78,HOU,81%,28
1977-78,WAS,75%,44
1977-78,LAL,36%,45
1977-78,PHI,98%,55
1977-78,PHO,55%,49
1977-78,LAC,34%,27
1977-78,OKC,33%,47
1977-78,IND,38%,31
1994-95,MIL,53%,34
1994-95,GSW,41%,26
1994-95,MIN,51%,21
1994-95,MIA,54%,32
1994-95,ATL,53%,42
1994-95,BOS,49%,35
1994-95,DET,44%,28
1994-95,NYK,97%,55
1994-95,DEN,77%,41
1994-95,DAL,70%,36
1994-95,OKC,90%,57
1994-95,POR,88%,44
1994-95,CHI,80%,47
1994-95,SAS,54%,62
1994-95,UTA,76%,60
1994-95,CLE,77%,43
1994-95,HOU,78%,47
1994-95,WAS,59%,21
1994-95,LAL,74%,48
1994-95,PHI,53%,24
1994-95,PHO,70%,59
1994-95,LAC,42%,17
1994-95,SAC,76%,39
1994-95,ORL,76%,57
1994-95,IND,82%,52
1976-77,LAL,62%,53
1976-77,PHI,58%,50
1976-77,UTA,85%,35
1976-77,PHO,70%,34
1976-77,MIL,61%,30
1976-77,GSW,87%,46
1976-77,SAC,44%,40
1976-77,POR,47%,49
1976-77,CHI,50%,44
1976-77,ATL,43%,31
1976-77,BOS,69%,44
1976-77,DET,63%,44
1976-77,LAC,54%,30
1976-77,NYK,54%,40
1976-77,OKC,61%,40
1976-77,HOU,65%,49
1976-77,CLE,93%,43
1976-77,WAS,69%,48
1978-79,MIL,91%,38
1978-79,GSW,56%,38
1978-79,ATL,69%,46
1978-79,BOS,48%,29
1978-79,DET,60%,30
1978-79,NYK,66%,31
1978-79,DEN,55%,47
1978-79,SAC,65%,48
1978-79,POR,69%,45
1978-79,CLE,81%,30
1978-79,SAS,98%,48
1978-79,UTA,74%,26
1978-79,CHI,65%,31
1978-79,HOU,81%,47
1978-79,WAS,97%,54
1978-79,LAL,84%,47
1978-79,PHI,69%,47
1978-79,PHO,83%,50
1978-79,LAC,26%,43
1978-79,OKC,79%,52
1978-79,IND,48%,38
1999-00,MIL,83%,42
1999-00,GSW,51%,19
1999-00,MIN,87%,50
1999-00,MIA,81%,52
1999-00,ATL,45%,28
1999-00,BOS,68%,35
1999-00,DET,77%,42
1999-00,NYK,94%,50
1999-00,DEN,57%,35
1999-00,DAL,85%,40
1999-00,POR,63%,59
1999-00,OKC,44%,45
1999-00,TOR,72%,45
1999-00,CHI,28%,17
1999-00,SAS,83%,53
1999-00,UTA,79%,55
1999-00,CLE,67%,32
1999-00,HOU,35%,34
1999-00,WAS,63%,29
1999-00,LAL,69%,67
1999-00,PHI,84%,49
1999-00,PHO,56%,53
1999-00,MEM,52%,22
1999-00,LAC,61%,15
1999-00,SAC,76%,44
1999-00,ORL,33%,41
1999-00,IND,98%,56
1962-63,LAL,69%,53
1962-63,PHI,81%,48
1962-63,GSW,63%,31
1962-63,SAC,86%,42
1962-63,ATL,42%,48
1962-63,BOS,84%,58
1962-63,DET,81%,34
1962-63,NYK,54%,21
1962-63,WAS,24%,25
2012-13,MIL,79%,38
2012-13,GSW,52%,47
2012-13,MIN,54%,31
2012-13,MIA,82%,66
2012-13,ATL,52%,44
2012-13,BOS,53%,41
2012-13,DET,71%,29
2012-13,NYK,54%,54
2012-13,DEN,82%,57
2012-13,DAL,39%,41
2012-13,POR,57%,33
2012-13,OKC,80%,60
2012-13,TOR,55%,34
2012-13,CHI,63%,45
2012-13,SAS,95%,58
2012-13,UTA,73%,43
2012-13,CLE,55%,24
2012-13,HOU,32%,45
2012-13,PHO,41%,25
2012-13,WAS,47%,29
2012-13,LAL,49%,45
2012-13,PHI,63%,34
2012-13,MEM,70%,56
2012-13,LAC,55%,56
2012-13,SAC,81%,28
2012-13,ORL,26%,20
2012-13,IND,73%,49
2002-03,MIL,69%,42
2002-03,GSW,85%,38
2002-03,MIN,68%,51
2002-03,MIA,66%,25
2002-03,ATL,74%,35
2002-03,BOS,78%,44
2002-03,DET,64%,50
2002-03,NYK,92%,37
2002-03,DEN,38%,17
2002-03,DAL,86%,60
2002-03,POR,81%,50
2002-03,OKC,76%,40
2002-03,TOR,67%,24
2002-03,CLE,55%,17
2002-03,SAS,81%,60
2002-03,UTA,62%,47
2002-03,CHI,69%,30
2002-03,HOU,69%,43
2002-03,WAS,61%,37
2002-03,LAL,93%,50
2002-03,PHI,54%,48
2002-03,PHO,73%,44
2002-03,MEM,61%,28
2002-03,LAC,66%,27
2002-03,SAC,81%,59
2002-03,ORL,68%,42
2002-03,IND,92%,48
2015-16,MIL,79%,33
2015-16,GSW,95%,73
2015-16,MIN,67%,29
2015-16,MIA,65%,48
2015-16,ATL,87%,48
2015-16,BOS,85%,48
2015-16,DET,50%,44
2015-16,NYK,42%,32
2015-16,DEN,70%,33
2015-16,DAL,55%,42
2015-16,POR,47%,44
2015-16,OKC,93%,55
2015-16,TOR,62%,56
2015-16,CHI,90%,42
2015-16,SAS,69%,67
2015-16,UTA,77%,40
2015-16,CLE,84%,57
2015-16,HOU,85%,41
2015-16,PHO,53%,23
2015-16,WAS,75%,41
2015-16,LAL,46%,17
2015-16,PHI,63%,10
2015-16,MEM,65%,42
2015-16,LAC,61%,53
2015-16,SAC,52%,33
2015-16,ORL,76%,35
2015-16,IND,62%,45
1969-70,LAL,60%,46
1969-70,PHI,82%,42
1969-70,PHO,46%,39
1969-70,MIL,61%,56
1969-70,GSW,76%,30
1969-70,SAC,53%,36
1969-70,CHI,67%,39
1969-70,ATL,79%,48
1969-70,BOS,80%,34
1969-70,DET,81%,31
1969-70,NYK,92%,60
1969-70,OKC,55%,36
1969-70,HOU,88%,27
1969-70,WAS,85%,50
2008-09,MIL,47%,34
2008-09,GSW,56%,29
2008-09,MIN,58%,24
2008-09,MIA,57%,43
2008-09,ATL,79%,47
2008-09,BOS,94%,62
2008-09,DET,81%,39
2008-09,NYK,61%,32
2008-09,DEN,66%,54
2008-09,DAL,91%,50
2008-09,POR,72%,54
2008-09,OKC,58%,23
2008-09,TOR,78%,33
2008-09,CHI,73%,41
2008-09,SAS,77%,54
2008-09,UTA,92%,48
2008-09,CLE,78%,66
2008-09,HOU,74%,53
2008-09,PHO,63%,46
2008-09,WAS,74%,19
2008-09,LAL,95%,65
2008-09,PHI,80%,41
2008-09,MEM,49%,24
2008-09,LAC,23%,19
2008-09,SAC,66%,17
2008-09,ORL,64%,59
2008-09,IND,52%,36
1991-92,MIL,78%,31
1991-92,GSW,76%,55
1991-92,MIN,83%,15
1991-92,MIA,85%,38
1991-92,ATL,50%,38
1991-92,BOS,77%,51
1991-92,DET,79%,48
1991-92,NYK,68%,51
1991-92,DEN,60%,24
1991-92,DAL,62%,22
1991-92,OKC,94%,47
1991-92,POR,94%,57
1991-92,CHI,96%,67
1991-92,SAS,72%,47
1991-92,UTA,80%,55
1991-92,CLE,79%,57
1991-92,HOU,88%,42
1991-92,WAS,55%,25
1991-92,LAL,77%,43
1991-92,PHI,84%,35
1991-92,PHO,95%,53
1991-92,LAC,77%,45
1991-92,SAC,54%,29
1991-92,ORL,74%,21
1991-92,IND,92%,40
1971-72,LAL,85%,69
1971-72,PHI,50%,30
1971-72,PHO,81%,49
1971-72,MIL,73%,63
1971-72,GSW,72%,51
1971-72,SAC,55%,30
1971-72,POR,62%,18
1971-72,CHI,73%,57
1971-72,ATL,50%,36
1971-72,BOS,99%,56
1971-72,DET,75%,26
1971-72,LAC,53%,22
1971-72,NYK,68%,48
1971-72,OKC,97%,47
1971-72,HOU,65%,34
1971-72,CLE,56%,23
1971-72,WAS,46%,38
1960-61,LAL,82%,36
1960-61,PHI,79%,38
1960-61,GSW,85%,46
1960-61,SAC,63%,33
1960-61,ATL,71%,51
1960-61,BOS,94%,57
1960-61,DET,63%,34
1960-61,NYK,74%,21
1982-83,MIL,67%,51
1982-83,GSW,68%,30
1982-83,ATL,73%,43
1982-83,BOS,89%,56
1982-83,DET,82%,37
1982-83,NYK,37%,44
1982-83,DEN,75%,45
1982-83,SAC,73%,45
1982-83,POR,56%,46
1982-83,CLE,59%,23
1982-83,SAS,64%,53
1982-83,UTA,64%,30
1982-83,CHI,52%,28
1982-83,HOU,44%,14
1982-83,WAS,82%,42
1982-83,LAL,87%,58
1982-83,PHI,66%,65
1982-83,PHO,73%,53
1982-83,LAC,42%,25
1982-83,DAL,70%,38
1982-83,OKC,86%,48
1982-83,IND,63%,20
1998-99,MIL,60%,28
1998-99,GSW,58%,21
1998-99,MIN,50%,25
1998-99,MIA,77%,33
1998-99,ATL,68%,31
1998-99,BOS,61%,19
1998-99,DET,83%,29
1998-99,NYK,69%,27
1998-99,DEN,41%,14
1998-99,DAL,67%,19
1998-99,POR,83%,35
1998-99,OKC,69%,25
1998-99,TOR,58%,23
1998-99,CHI,58%,13
1998-99,SAS,71%,37
1998-99,UTA,91%,37
1998-99,CLE,78%,22
1998-99,HOU,47%,31
1998-99,WAS,63%,18
1998-99,LAL,66%,31
1998-99,PHI,54%,28
1998-99,PHO,62%,27
1998-99,MEM,52%,8<
1998-99,LAC,65%,9<
1998-99,SAC,29%,27
1998-99,ORL,70%,33
1998-99,IND,92%,33
1996-97,MIL,54%,33
1996-97,GSW,68%,30
1996-97,MIN,59%,40
1996-97,MIA,56%,61
1996-97,ATL,50%,56
1996-97,BOS,69%,15
1996-97,DET,84%,54
1996-97,NYK,49%,57
1996-97,DEN,55%,21
1996-97,DAL,26%,24
1996-97,POR,52%,49
1996-97,OKC,78%,57
1996-97,TOR,50%,30
1996-97,CHI,97%,69
1996-97,SAS,75%,20
1996-97,UTA,92%,64
1996-97,CLE,87%,42
1996-97,HOU,46%,57
1996-97,WAS,59%,44
1996-97,LAL,49%,56
1996-97,PHI,53%,22
1996-97,PHO,59%,40
1996-97,MEM,39%,14
1996-97,LAC,78%,36
1996-97,SAC,87%,34
1996-97,ORL,62%,45
1996-97,IND,81%,39
2016-17,MIL,50%,15
2016-17,GSW,68%,28
2016-17,MIN,86%,10
2016-17,MIA,59%,10
2016-17,ATL,78%,16
2016-17,BOS,83%,19
2016-17,DET,72%,15
2016-17,NYK,40%,16
2016-17,DEN,75%,14
2016-17,DAL,54%,10
2016-17,POR,87%,14
2016-17,OKC,57%,20
2016-17,TOR,90%,22
2016-17,CHI,49%,16
2016-17,SAS,70%,26
2016-17,UTA,71%,20
2016-17,CLE,87%,24
2016-17,HOU,66%,24
2016-17,PHO,73%,10
2016-17,WAS,82%,15
2016-17,LAL,63%,12
2016-17,PHI,50%,7<
2016-17,MEM,70%,21
2016-17,LAC,82%,22
2016-17,SAC,56%,14
2016-17,ORL,52%,15
2016-17,IND,59%,15
2005-06,MIL,38%,40
2005-06,GSW,88%,34
2005-06,MIN,56%,33
2005-06,MIA,49%,52
2005-06,ATL,50%,26
2005-06,BOS,72%,33
2005-06,DET,90%,64
2005-06,NYK,43%,23
2005-06,DEN,84%,44
2005-06,DAL,82%,60
2005-06,POR,61%,21
2005-06,OKC,82%,35
2005-06,TOR,54%,27
2005-06,CHI,82%,41
2005-06,SAS,82%,63
2005-06,UTA,66%,41
2005-06,CLE,63%,50
2005-06,HOU,54%,34
2005-06,PHO,41%,54
2005-06,WAS,66%,42
2005-06,LAL,70%,45
2005-06,PHI,86%,38
2005-06,MEM,63%,49
2005-06,LAC,54%,47
2005-06,SAC,62%,44
2005-06,ORL,83%,36
2005-06,IND,76%,41
1997-98,MIL,51%,36
1997-98,GSW,39%,19
1997-98,MIN,80%,45
1997-98,MIA,84%,55
1997-98,ATL,86%,50
1997-98,BOS,37%,36
1997-98,DET,65%,37
1997-98,NYK,80%,43
1997-98,DEN,28%,11
1997-98,DAL,67%,20
1997-98,POR,64%,46
1997-98,OKC,62%,61
1997-98,TOR,67%,16
1997-98,CHI,92%,62
1997-98,SAS,59%,56
1997-98,UTA,98%,62
1997-98,CLE,19%,47
1997-98,HOU,95%,41
1997-98,WAS,84%,42
1997-98,LAL,83%,61
1997-98,PHI,48%,31
1997-98,PHO,66%,56
1997-98,MEM,63%,19
1997-98,LAC,71%,17
1997-98,SAC,54%,27
1997-98,ORL,63%,41
1997-98,IND,86%,58
1967-68,LAL,87%,52
1967-68,PHI,98%,62
1967-68,GSW,80%,43
1967-68,SAC,78%,39
1967-68,CHI,77%,29
1967-68,ATL,91%,56
1967-68,BOS,89%,54
1967-68,DET,67%,40
1967-68,NYK,81%,43
1967-68,WAS,77%,36
2011-12,MIL,58%,31
2011-12,GSW,47%,23
2011-12,MIN,73%,26
2011-12,MIA,79%,46
2011-12,ATL,72%,40
2011-12,BOS,65%,39
2011-12,DET,69%,25
2011-12,NYK,47%,36
2011-12,DEN,64%,38
2011-12,DAL,71%,36
2011-12,POR,59%,28
2011-12,OKC,93%,47
2011-12,TOR,78%,23
2011-12,CHI,93%,50
2011-12,SAS,79%,50
2011-12,UTA,77%,36
2011-12,CLE,64%,21
2011-12,HOU,73%,34
2011-12,PHO,70%,33
2011-12,WAS,69%,20
2011-12,LAL,79%,41
2011-12,PHI,90%,35
2011-12,MEM,72%,41
2011-12,LAC,52%,40
2011-12,SAC,58%,22
2011-12,ORL,84%,37
2011-12,IND,72%,42
1993-94,MIL,72%,20
1993-94,GSW,74%,50
1993-94,MIN,68%,20
1993-94,MIA,99%,42
1993-94,ATL,71%,57
1993-94,BOS,77%,32
1993-94,DET,44%,20
1993-94,NYK,86%,57
1993-94,DEN,82%,42
1993-94,DAL,48%,13
1993-94,OKC,72%,63
1993-94,POR,84%,47
1993-94,CHI,57%,55
1993-94,SAS,72%,55
1993-94,UTA,66%,53
1993-94,CLE,78%,47
1993-94,HOU,84%,58
1993-94,WAS,64%,24
1993-94,LAL,68%,33
1993-94,PHI,45%,25
1993-94,PHO,77%,56
1993-94,LAC,72%,27
1993-94,SAC,76%,28
1993-94,ORL,76%,50
1993-94,IND,61%,47
1959-60,LAL,66%,25
1959-60,PHI,89%,45
1959-60,GSW,80%,49
1959-60,SAC,67%,19
1959-60,ATL,76%,46
1959-60,BOS,93%,59
1959-60,DET,73%,30
1959-60,NYK,77%,27
1980-81,MIL,80%,60
1980-81,GSW,33%,39
1980-81,ATL,82%,31
1980-81,BOS,79%,62
1980-81,DET,57%,21
1980-81,NYK,76%,50
1980-81,DEN,51%,37
1980-81,SAC,73%,40
1980-81,POR,69%,45
1980-81,CLE,47%,28
1980-81,SAS,57%,52
1980-81,UTA,50%,28
1980-81,CHI,70%,45
1980-81,HOU,85%,40
1980-81,WAS,78%,39
1980-81,LAL,85%,54
1980-81,PHI,87%,62
1980-81,PHO,78%,57
1980-81,LAC,56%,36
1980-81,OKC,72%,34
1980-81,IND,76%,44
2003-04,MIL,50%,41
2003-04,GSW,45%,37
2003-04,MIN,27%,58
2003-04,MIA,44%,42
2003-04,ATL,52%,28
2003-04,BOS,50%,36
2003-04,DET,78%,54
2003-04,NYK,52%,39
2003-04,DEN,38%,43
2003-04,DAL,49%,52
2003-04,POR,77%,41
2003-04,OKC,84%,37
2003-04,TOR,38%,33
2003-04,CLE,44%,35
2003-04,SAS,62%,57
2003-04,UTA,58%,42
2003-04,CHI,49%,23
2003-04,HOU,70%,45
2003-04,PHO,75%,29
2003-04,WAS,65%,25
2003-04,LAL,62%,56
2003-04,PHI,65%,33
2003-04,MEM,68%,50
2003-04,LAC,63%,28
2003-04,SAC,69%,55
2003-04,ORL,42%,21
2003-04,IND,84%,61
1968-69,LAL,54%,55
1968-69,PHI,72%,55
1968-69,GSW,89%,41
1968-69,SAC,88%,41
1968-69,CHI,73%,33
1968-69,ATL,83%,48
1968-69,BOS,88%,48
1968-69,DET,66%,32
1968-69,NYK,84%,54
1968-69,OKC,47%,30
1968-69,HOU,66%,37
1968-69,WAS,77%,57
1990-91,MIL,69%,48
1990-91,GSW,83%,44
1990-91,MIN,79%,29
1990-91,MIA,74%,24
1990-91,ATL,87%,43
1990-91,BOS,75%,56
1990-91,DET,97%,50
1990-91,NYK,89%,39
1990-91,DEN,41%,20
1990-91,DAL,74%,28
1990-91,OKC,70%,41
1990-91,POR,88%,63
1990-91,CHI,89%,61
1990-91,SAS,70%,55
1990-91,UTA,83%,54
1990-91,CLE,73%,33
1990-91,HOU,73%,52
1990-91,WAS,67%,30
1990-91,LAL,74%,58
1990-91,PHI,58%,44
1990-91,PHO,78%,55
1990-91,LAC,83%,31
1990-91,SAC,20%,25
1990-91,ORL,76%,31
1990-91,IND,89%,41
1957-58,LAL,44%,19
1957-58,PHI,74%,41
1957-58,GSW,70%,37
1957-58,SAC,54%,33
1957-58,ATL,89%,41
1957-58,BOS,97%,49
1957-58,DET,44%,33
1957-58,NYK,75%,35
2000-01,MIL,75%,52
2000-01,GSW,62%,17
2000-01,MIN,73%,47
2000-01,MIA,45%,50
2000-01,ATL,64%,25
2000-01,BOS,65%,36
2000-01,DET,40%,32
2000-01,NYK,76%,48
2000-01,DEN,70%,40
2000-01,DAL,67%,53
2000-01,POR,81%,50
2000-01,OKC,79%,44
2000-01,TOR,64%,47
2000-01,CHI,47%,15
2000-01,SAS,75%,58
2000-01,UTA,66%,53
2000-01,CLE,41%,30
2000-01,HOU,88%,45
2000-01,WAS,68%,19
2000-01,LAL,72%,56
2000-01,PHI,90%,56
2000-01,PHO,63%,51
2000-01,MEM,70%,23
2000-01,LAC,54%,31
2000-01,SAC,71%,55
2000-01,ORL,56%,43
2000-01,IND,84%,41
1975-76,LAL,50%,40
1975-76,PHI,71%,46
1975-76,UTA,76%,38
1975-76,PHO,44%,42
1975-76,MIL,46%,38
1975-76,GSW,86%,59
1975-76,SAC,79%,31
1975-76,POR,72%,37
1975-76,CHI,72%,24
1975-76,ATL,83%,29
1975-76,BOS,79%,54
1975-76,DET,79%,36
1975-76,LAC,83%,46
1975-76,NYK,77%,38
1975-76,OKC,61%,43
1975-76,HOU,81%,40
1975-76,CLE,90%,49
1975-76,WAS,82%,48
2001-02,MIL,81%,41
2001-02,GSW,72%,21
2001-02,MIN,79%,50
2001-02,MIA,51%,36
2001-02,ATL,61%,33
2001-02,BOS,79%,49
2001-02,DET,63%,50
2001-02,NYK,80%,30
2001-02,DEN,66%,27
2001-02,DAL,70%,57
2001-02,POR,71%,49
2001-02,OKC,70%,45
2001-02,TOR,90%,42
2001-02,CHI,45%,21
2001-02,SAS,59%,58
2001-02,UTA,76%,44
2001-02,CLE,62%,29
2001-02,HOU,70%,28
2001-02,WAS,67%,37
2001-02,LAL,79%,58
2001-02,PHI,51%,43
2001-02,PHO,53%,36
2001-02,MEM,27%,23
2001-02,LAC,81%,39
2001-02,SAC,83%,61
2001-02,ORL,78%,44
2001-02,IND,73%,42
2014-15,MIL,67%,41
2014-15,GSW,80%,67
2014-15,MIN,43%,16
2014-15,MIA,50%,37
2014-15,ATL,88%,60
2014-15,BOS,50%,40
2014-15,DET,57%,32
2014-15,NYK,39%,17
2014-15,DEN,62%,30
2014-15,DAL,38%,50
2014-15,POR,80%,51
2014-15,OKC,66%,45
2014-15,TOR,82%,49
2014-15,CHI,64%,50
2014-15,SAS,98%,55
2014-15,UTA,61%,38
2014-15,CLE,39%,53
2014-15,HOU,48%,56
2014-15,PHO,81%,39
2014-15,WAS,72%,46
2014-15,LAL,44%,21
2014-15,PHI,29%,18
2014-15,MEM,85%,55
2014-15,LAC,83%,56
2014-15,SAC,70%,29
2014-15,ORL,52%,25
2014-15,IND,75%,38
1955-56,LAL,77%,33
1955-56,PHI,92%,35
1955-56,GSW,75%,45
1955-56,SAC,33%,31
1955-56,ATL,52%,33
1955-56,BOS,66%,39
1955-56,DET,56%,37
1955-56,NYK,79%,35
1964-65,LAL,86%,49
1964-65,PHI,75%,40
1964-65,GSW,76%,17
1964-65,SAC,95%,48
1964-65,ATL,90%,45
1964-65,BOS,91%,62
1964-65,DET,61%,31
1964-65,NYK,51%,31
1964-65,WAS,51%,37
1972-73,LAL,79%,60
1972-73,PHI,26%,9<
1972-73,PHO,84%,38
1972-73,MIL,81%,60
1972-73,GSW,75%,47
1972-73,SAC,72%,36
1972-73,POR,48%,21
1972-73,CHI,82%,51
1972-73,ATL,89%,46
1972-73,BOS,84%,68
1972-73,DET,59%,40
1972-73,LAC,65%,21
1972-73,NYK,94%,57
1972-73,OKC,55%,26
1972-73,HOU,46%,33
1972-73,CLE,53%,32
1972-73,WAS,72%,52
1965-66,LAL,84%,45
1965-66,PHI,73%,55
1965-66,GSW,74%,35
1965-66,SAC,91%,45
1965-66,ATL,79%,36
1965-66,BOS,88%,54
1965-66,DET,56%,22
1965-66,NYK,44%,30
1965-66,WAS,56%,38
2013-14,MIL,24%,15
2013-14,GSW,71%,51
2013-14,MIN,59%,40
2013-14,MIA,91%,54
2013-14,ATL,53%,38
2013-14,BOS,59%,25
2013-14,DET,59%,29
2013-14,NYK,73%,37
2013-14,DEN,62%,36
2013-14,DAL,48%,49
2013-14,POR,65%,54
2013-14,OKC,89%,59
2013-14,TOR,68%,48
2013-14,CHI,69%,48
2013-14,SAS,83%,62
2013-14,UTA,62%,25
2013-14,CLE,60%,33
2013-14,HOU,77%,54
2013-14,PHO,46%,48
2013-14,WAS,77%,44
2013-14,LAL,43%,27
2013-14,PHI,37%,19
2013-14,MEM,65%,50
2013-14,LAC,66%,57
2013-14,SAC,53%,28
2013-14,ORL,81%,23
2013-14,IND,77%,56
1984-85,MIL,61%,59
1984-85,GSW,66%,22
1984-85,ATL,71%,34
1984-85,BOS,97%,63
1984-85,DET,84%,46
1984-85,NYK,62%,24
1984-85,DEN,53%,52
1984-85,SAC,87%,31
1984-85,POR,60%,42
1984-85,CLE,68%,36
1984-85,SAS,73%,41
1984-85,UTA,85%,41
1984-85,CHI,72%,38
1984-85,HOU,55%,48
1984-85,WAS,65%,40
1984-85,LAL,98%,62
1984-85,PHI,82%,58
1984-85,PHO,73%,36
1984-85,LAC,55%,31
1984-85,DAL,81%,44
1984-85,OKC,62%,31
1984-85,IND,60%,22
1956-57,LAL,71%,34
1956-57,PHI,68%,38
1956-57,GSW,84%,37
1956-57,SAC,67%,31
1956-57,ATL,58%,34
1956-57,BOS,61%,44
1956-57,DET,64%,34
1956-57,NYK,71%,36
2010-11,MIL,62%,35
2010-11,GSW,53%,36
2010-11,MIN,40%,17
2010-11,MIA,45%,58
2010-11,ATL,88%,44
2010-11,BOS,76%,56
2010-11,DET,80%,30
2010-11,NYK,34%,42
2010-11,DEN,72%,50
2010-11,DAL,79%,57
2010-11,POR,78%,48
2010-11,OKC,91%,55
2010-11,TOR,59%,22
2010-11,CHI,49%,62
2010-11,SAS,82%,61
2010-11,UTA,50%,39
2010-11,CLE,58%,19
2010-11,HOU,77%,43
2010-11,PHO,61%,40
2010-11,WAS,47%,23
2010-11,LAL,85%,57
2010-11,PHI,75%,41
2010-11,MEM,80%,46
2010-11,LAC,38%,32
2010-11,SAC,61%,24
2010-11,ORL,64%,52
2010-11,IND,77%,37
1985-86,MIL,91%,57
1985-86,GSW,60%,30
1985-86,ATL,77%,50
1985-86,BOS,80%,67
1985-86,DET,81%,46
1985-86,NYK,68%,23
1985-86,DEN,95%,47
1985-86,SAC,81%,37
1985-86,POR,82%,40
1985-86,CLE,81%,29
1985-86,SAS,51%,35
1985-86,UTA,78%,42
1985-86,CHI,44%,30
1985-86,HOU,97%,51
1985-86,WAS,69%,39
1985-86,LAL,83%,62
1985-86,PHI,82%,54
1985-86,PHO,79%,32
1985-86,LAC,62%,32
1985-86,DAL,79%,44
1985-86,OKC,80%,31
1985-86,IND,58%,26
2006-07,MIL,53%,28
2006-07,GSW,67%,42
2006-07,MIN,73%,32
2006-07,MIA,92%,44
2006-07,ATL,72%,30
2006-07,BOS,75%,24
2006-07,DET,81%,53
2006-07,NYK,84%,33
2006-07,DEN,66%,45
2006-07,DAL,77%,67
2006-07,POR,52%,32
2006-07,OKC,91%,31
2006-07,TOR,37%,47
2006-07,CHI,65%,49
2006-07,SAS,84%,58
2006-07,UTA,74%,51
2006-07,CLE,92%,50
2006-07,HOU,75%,52
2006-07,PHO,95%,61
2006-07,WAS,81%,41
2006-07,LAL,79%,42
2006-07,PHI,72%,35
2006-07,MEM,72%,22
2006-07,LAC,82%,40
2006-07,SAC,85%,33
2006-07,ORL,92%,40
2006-07,IND,57%,35
1992-93,MIL,39%,28
